GROUP,density,NPP,ID,sampleID
SELTAMIN,2.5,2349.47038685461,AG,0
MENYA,16,2235.18055348541,AG,0
MAKLEW,0.2,2190.06048855448,SG,0
SIKARITAI,0.8,2594.51999305168,SG,0
BISIS,1.3,2562.05402078247,SG,0
KIRIKIRI,1.1,2591.99808639791,SG,0
IAU,0.8,2592.87126408213,SG,0
DUVLI,1.8,2595.30767205671,SG,0
BOUYE,1.4,2470.11311054331,SG,0
KAUNGA,0.5,2441.57542081182,SG,0
AMA,3.3,2603.05584572522,SG,0
ALAMBLAK,1.6,2581.39679364411,SG,0
YABIO,0.8,2596.0015245388,SG,0
SANIO-HIOWE,1.6,2602.54328379591,SG,0
MARI,1,2571.5459200504,SG,0
EDOPI,0.7,2587.25580701184,SG,0
YAFI,1.6,2394.45579406653,SG,0
FASU (VALLEY),1.1,2473.41830192383,SG,0
KAUWERA,0.5,2553.24266715924,SG,0
BAHINEMO,0.2,2591.64838975249,SG,0
PARE,1.5,2606.62842051386,SG,0
SENGGI,0.8,2370.68019113828,SG,0
BONERIF,0.4,2490.80880859142,SG,0
SUMARIUP,0.4,2583.89093052384,SG,0
BITARA,0.3,2600.31548907841,SG,0
ODOODEE,1.5,2572.93206247376,SG,0
KWERBA,0.5,2537.83216355212,SG,0
PASI,1.5,2470.46483865126,SG,0
SAMAROKENA,0.8,2527.6163053949,SG,0
YADE,1.1,2522.88785520377,SG,0
NAGATMAN/JADE,1.1,2522.88785520377,SG,0
AK,0.5,2445.63929460437,SG,0
PAHI,1.8,2410.32734101671,SG,0
NAMIE,5.9,2526.67437922825,SG,0
MANDER,0.3,2499.52403899075,SG,0
BERIK,0.6,2510.69619843975,SG,0
BINE,0.8,2115.27968425829,SG,0
NOPUK,2.1,2562.34472038972,SG,0
YEREKAI,1.3,2500.51999480376,SG,0
ARAFUNDI(LOW,2,2571.65919153132,SG,0
MAYO,1.9,2501.51396864748,SG,0
KWOMA(NUKUMA),1.6,2451.13332155793,SG,0
BOIKEN(KUNAI),2.6,2205.50748282519,SG,0
AWUN,1.2,2486.39444524498,SG,0
KALOU,1.1,2484.68644108515,SG,0
WATAKATAUWI,0.4,2597.0404987739,SG,0
MEAKAMBUT,0.5,2488.31777633391,SG,0
AMTO,3.3,2565.24751982578,SG,0
OWINIGA,0.5,2600.65890721778,AG,0
YONGGOM,1.1,2605.78033984021,AG,0
KAMULA,0.2,2569.65268665496,AG,0
KASUA,0.4,2406.16671035234,AG,0
AEKYOM,1.6,2593.39435037201,AG,0
NIMO/ITERI,1,2593.39443015269,AG,0
ETORO,1,2359.76780528499,AG,0
KALULI,3,2428.0536665505,AG,0
AMANAB,5.2,2408.3663743855,AG,0
ANGGOR,5.3,2492.83339065263,AG,0
BIAKA,2,2505.14164621445,AG,0
ARAPESH(BUMB),24,2148.13882990846,AG,0
OLO(WAPE),13.6,2443.79575848584,AG,0
AU,26.9,2417.71992083682,AG,0
WAINA,4.8,2325.23831609509,AG,0
GNAU,13.4,2405.21525460177,AG,0
AUWYU(SOUTH),1.6,2457.29409182039,AG,0
NIMBORAN,38.6,2352.02276299909,AG,0
ONABASULU,1.7,2439.2158829659,AG,0
KOMBIO,14.8,2217.54879108168,AG,0
