SOCIETY,LAT,LONG,SUB,SUB2,PROTEIN,DENSITY,PLTYSIZE,AREA,MinTemp,CRR,MAT,Elevation
IATMUL(EAST),-4.194,143.599,SF,SAGO-FISH,FISHING,3.3,866,262.424242424242,21.2000007629395,2400,26.9583339691162,7
IATMUL(NYAUR,-4.228,143.352,S-HF,SAGO-FISH,FISHING,6.7,314,46.865671641791,21.2999992370605,2505,27.0625,15
IATMUL(PALIM,-4.186,143.243,S-HF,SAGO-FISH,FISHING,4.6,337,73.2608695652174,21.3999996185303,2455,27.0666656494141,13
IAU,-3.183,137.681,S-FH,SAGO-FISH,FISHING,0.8,,,22,3261,26.6083335876465,82
IMBONGGU,-6.136,144.029,AL,AGG,LIVESTOCK,23,124,5.39130434782609,9,2939,15.5583333969116,2174
IWAM (MAY),-4.25,141.814,SF,SAGO-FISH,FISHING,2,79,39.5,22.3999996185303,3171,26.9333324432373,34
IWAM (SEPIK),-4.306,142.117,SF,SAGO-FISH,FISHING,1.4,328,234.285714285714,22.2999992370605,3087,26.9916667938232,25
JAQAI,-6.605,139.256,SF,SAGO-FISH,FISHING,4.3,82,19.0697674418605,22.1000003814697,3230,26.9833335876465,30
KAIMBI,-5.991,144.183,HL,HORT,LIVESTOCK,12.4,288,23.2258064516129,13.3999996185303,3004,19.9916667938232,1329
KALAM,-5.265,144.584,HL,HORT,LIVESTOCK,48.8,44,0.901639344262295,10.3999996185303,2466,16.2916660308838,2175
KALOU,-3.941,142.219,SH,SAGO,HUNTING,1.1,391,355.454545454545,21.8999996185303,2653,26.4874992370605,80
KALULI,-6.475,142.79,SH-H,HORT,HUNTING,3,60,20,17.7999992370605,4097,23.2000007629395,769
KAMANO(KAFE),-6.243,145.678,HL,HORT,LIVESTOCK,17.1,207,12.1052631578947,12.6999998092651,1910,19.3541660308838,1552
KAMANO(SOUTH),-6.37,145.738,HL,HORT,LIVESTOCK,18.4,218,11.8478260869565,10.6999998092651,2115,17.1499996185303,1894
KAMBOT,-4.327,144.087,SF,SAGO-FISH,FISHING,4.6,300,65.2173913043478,20.7000007629395,2485,26.6166667938232,18
KAMORO,-4.389,135.893,SF,SAGO-FISH,FISHING,2.1,501,238.571428571429,20.8999996185303,3112,26.0208339691162,180
KAMULA,-7.287,142.64,SH-FH,HORT,HUNTING,0.2,43,215,20.7999992370605,3599,26.0666675567627,106
KANINGARA,-4.491,143.184,SF,SAGO-FISH,FISHING,2.3,150,65.2173913043478,21.1000003814697,2875,26.720832824707,28
KAPAUKU,-4.054,136.083,AL,AGG,LIVESTOCK,41,176,4.29268292682927,13.3999996185303,3327,19.1916675567627,1587
KAPRIMAN,-4.529,143.243,SF,SAGO-FISH,FISHING,2.3,190,82.6086956521739,21.1000003814697,2911,26.6666660308838,34
KARAWARI,-4.492,143.595,SF,SAGO-FISH,FISHING,1.2,80,66.6666666666667,20.7999992370605,2803,26.6124992370605,25
KASUA,-6.685,142.999,SH-FH,HORT,HUNTING,0.4,45,112.5,17.1000003814697,4150,22.8083324432373,767
KAUGEL,-5.964,144.029,AL,AGG,LIVESTOCK,23.2,319,13.75,9,2606,15.6708335876465,2185
KAUNGA,-4.106,142.819,SF,SAGO-FISH,FISHING,0.5,64.5,129,21.7000007629395,2532,26.9874992370605,31
KAUWERA,-2.241,138.156,SH,SAGO,HUNTING,0.5,40,80,22,2868,26.404167175293,187
KEREWO,-7.56,144.301,SF,SAGO-FISH,FISHING,5.8,191,32.9310344827586,20.6000003814697,4791,25.5583343505859,22
KEWA(EAST),-6.343,143.934,AL,AGG,LIVESTOCK,30.8,162,5.25974025974026,10.8999996185303,3398,17.2958335876465,1911
KEWA(SOUTH),-6.68,144.009,H-HL,HORT,LIVESTOCK,18.2,142.7,7.84065934065934,12.6000003814697,3422,19.25,1389
