"LAT","LONG","DENSITY","PLTYSIZE","AREA","MinTemp","CRR","MAT","Elevation","SOCIETY","SUB","SUB2","PROTEIN"
-6.316,142.232,1.8,42,23.3333333333333,21.1000003814697,4207,26.5041656494141,116,"GEBUSI","HH","HORT","HUNTING"
-3.799,142.303,1.8,88,48.8888888888889,21.5,2450,26.0833339691162,169,"PAHI","SH","SAGO","HUNTING"
-7.265,146.461,1.9,86.3,45.421052631579,15.1999998092651,2102,21.375,1135,"HAMTAI","HH","HORT","HUNTING"
-5.221,142.436,1.9,18,9.47368421052632,17.1000003814697,3629,22.341667175293,848,"HEWA","HH","HORT","HUNTING"
-4.128,142.579,1.9,121,63.6842105263158,21.8999996185303,2703,26.9750003814697,33,"MAYO","SH","SAGO","HUNTING"
-4.727,143.573,1.9,150,78.9473684210526,20.5,3104,26.3666667938232,30,"YIMAS","SF","SAGO-FISH","FISHING"
-4.763,143.687,2,107,53.5,20.2999992370605,3139,26.1124992370605,106,"ARAFUNDI(LOW","SH","SAGO","HUNTING"
-3.741,141.282,2,90,45,21.8999996185303,2714,26.220832824707,183,"BIAKA","SH-H","HORT","HUNTING"
-4.25,141.814,2,79,39.5,22.3999996185303,3171,26.9333324432373,34,"IWAM (MAY)","SF","SAGO-FISH","FISHING"
-4.389,135.893,2.1,501,238.571428571429,20.8999996185303,3112,26.0208339691162,180,"KAMORO","SF","SAGO-FISH","FISHING"
-9.138,141.076,2.1,430,204.761904761905,21.8999996185303,1462,26.6416664123535,22,"MARIND-ANIM","SF","SAGO-FISH","FISHING"
-2.611,138.404,2.1,94,44.7619047619048,21.5,2899,25.9541664123535,186,"NOPUK","SH","SAGO","HUNTING"
-4.028,142.962,2.1,266,126.666666666667,21.5,2339,27.0208339691162,28,"SENGO","H-HF","HORT","HUNTING"
-3.959,141.126,2.2,32.5,14.7727272727273,22.3999996185303,2930,26.8291664123535,64,"ABAU(GREEN R.)","S-FH","SAGO-FISH","FISHING"
-4.491,143.184,2.3,150,65.2173913043478,21.1000003814697,2875,26.720832824707,28,"KANINGARA","SF","SAGO-FISH","FISHING"
-4.529,143.243,2.3,190,82.6086956521739,21.1000003814697,2911,26.6666660308838,34,"KAPRIMAN","SF","SAGO-FISH","FISHING"
-5.993,138.649,2.4,157,65.4166666666667,22.1000003814697,3799,26.9500007629395,28,"SAWI","SF","SAGO-FISH","FISHING"
-5.434,141.887,2.5,116.565639330808,39.6730483422657,16.7000007629395,4174,21.841667175293,951,"SELTAMIN","HL","HORT","LIVESTOCK"
-4.856,141.217,2.6,24,9.23076923076923,17.7000007629395,3902,22.5208339691162,960,"ATBALMIN","HH","HORT","HUNTING"
-3.842,143.32,2.6,185,71.1538461538462,21.1000003814697,2001,26.9583339691162,71,"BOIKEN(KUNAI)","SH","SAGO","HUNTING"
-3.954,144.53,2.7,138,51.1111111111111,21.7999992370605,2371,26.7541656494141,8,"WATAM","SF","SAGO-FISH","FISHING"
-5.167,138.219,2.9,789,272.068965517241,21.7999992370605,4057,26.8791675567627,17,"ASMAT (KEENOK)","SF","SAGO-FISH","FISHING"
-4.263,143.917,2.9,150,51.7241379310345,20.7999992370605,2369,26.7124996185303,15,"MONGOL","SF","SAGO-FISH","FISHING"
-6.837,138.967,3,511,170.333333333333,21.9387495545258,2870.84078404928,26.8925203632938,8,"ASMAT (KAWENA","SF","SAGO-FISH","FISHING"
-6.475,142.79,3,60,20,17.7999992370605,4097,23.2000007629395,769,"KALULI","SH-H","HORT","HUNTING"
-5.207,141.69,3.1,211,68.0645161290323,14.1999998092651,3772,19.7416667938232,1410,"FERAMIN","H-HL","HORT","LIVESTOCK"
-6.153,142.194,3.1,56,18.0645161290323,21.1000003814697,4275,26.3791675567627,126,"SAMO","HH","HORT","HUNTING"
-4.205,141.656,3.3,14,4.24242424242424,22.3999996185303,3143,26.8541660308838,47,"AMA","SH","SAGO","HUNTING"
-4.107,141.332,3.3,138.648537300117,49.1682693643334,21.7000007629395,3075,25.966667175293,267,"AMTO","SH","SAGO","HUNTING"
-4.194,143.599,3.3,866,262.424242424242,21.2000007629395,2400,26.9583339691162,7,"IATMUL(EAST)","SF","SAGO-FISH","FISHING"
-8.42,143.679,3.4,292.5,86.0294117647059,22,2742,26.216667175293,68.0037706815404,"WABUDA","SF","SAGO-FISH","FISHING"
-3.861,142.963,3.5,203.3,58.0857142857143,21.2999992370605,2076,26.7958335876465,63,"ABELAM(SWOSERA)","HL","HORT","LIVESTOCK"
-8.522,143.394,3.5,359.689345811413,138.011393775204,21.8999996185303,2544,26.2416667938232,13,"KIWAI ISLAND","SF","SAGO-FISH","FISHING"
-3.847,144.179,3.5,230,65.7142857142857,21.3999996185303,2082,26.8833332061768,10,"MURIK","SF","SAGO-FISH","FISHING"
-4.253,143.097,3.7,220,59.4594594594595,21.5,2551,27.0458335876465,4,"CHAMBRI","SF","SAGO-FISH","FISHING"
-4.188,142.87,3.7,430,116.216216216216,21.7999992370605,2658,27.2041664123535,25,"MANAMBU","SH-F","HORT","FISHING"
-8.107,142.869,3.9,270,69.2307692307692,21.3999996185303,2546,26.3875007629395,44,"GOGODALA (W)","SH-F","HORT","FISHING"
-5.381,142.04,4,173.036250339106,29.7931280848126,13.8000001907349,4010,19.0041675567627,1674,"BIMIN-KUSKUS","AH","AGG","HUNTING"
-6.997,144.463,4,75,18.75,18.5,4404,24.5791664123535,211,"POLOPA","HH","HORT","HUNTING"
-3.956,136.482,4.1,24.9,6.07317073170732,11.6000003814697,3344,17.4583339691162,1875,"MONI","HL","HORT","LIVESTOCK"
-5.117,141.411,4.1,40,9.75609756097561,13.5,4291,19.0208339691162,1456,"TIFAL","HH","HORT","HUNTING"
-6.605,139.256,4.3,82,19.0697674418605,22.1000003814697,3230,26.9833335876465,30,"JAQAI","SF","SAGO-FISH","FISHING"
-6.728,143.929,4.3,178.316513056999,26.091478350659,13,3521,19.7958335876465,1264,"SAMBERIGI","H-HL","HORT","LIVESTOCK"
-5.437,141.886,4.4,212,48.1818181818182,16.7000007629395,4174,21.841667175293,1113,"BAKTAMAN","HH","HORT","HUNTING"
-4.186,143.243,4.6,337,73.2608695652174,21.3999996185303,2455,27.0666656494141,13,"IATMUL(PALIM","S-HF","SAGO-FISH","FISHING"
-4.327,144.087,4.6,300,65.2173913043478,20.7000007629395,2485,26.6166667938232,18,"KAMBOT","SF","SAGO-FISH","FISHING"
-5.145,144.263,4.6,15,3.26086956521739,15.3000001907349,3381,21.0791664123535,1068,"WOVAN","HH","HORT","HUNTING"
